My Team
""
Player,Stat Type,Games Played,Minutes per Game,Points per Game,Rebounds,Assists,Steals,Blocks,3PM,FG%,FT%,Turnovers
""
Tre Jones,(Projected),75.0,56.8,25.8,7.6,10.2,2.2,0.4,0.8,46.6,79.2,2.2
Tre Jones,(Current Season),8.0,59.2,24.6,9.0,11.0,2.6,0.6,1.8,37.3,90.6,4.6
Bobby Portis,(Projected),74.0,79.5,37.2,24.299999999999997,3.3000000000000003,2.0999999999999996,2.0999999999999996,4.800000000000001,48.5,76.1,3.5999999999999996
Bobby Portis,(Current Season),7.0,74.1,38.7,30.900000000000002,4.800000000000001,1.2000000000000002,1.2000000000000002,3.3000000000000003,48.1,66.7,2.7
Jerami Grant,(Projected),69.0,69.8,35.0,8.0,4.4,1.2,1.6,3.2,45.0,77.8,2.8
Jerami Grant,(Current Season),7.0,70.6,33.4,8.2,4.6,1.2,1.4,3.8,44.4,72.7,4.0
Bismack Biyombo,(Projected),36.0,28.2,11.6,9.2,1.2,0.6,1.4,0.0,59.3,53.5,1.4
Bismack Biyombo,(Current Season),5.0,33.2,9.6,9.6,1.6,0.0,4.4,0.0,71.4,57.1,1.6
Dennis Smith Jr.,(Projected),37.0,51.599999999999994,16.799999999999997,7.199999999999999,10.8,3.5999999999999996,0.8999999999999999,0.6000000000000001,41.8,65.6,4.199999999999999
Dennis Smith Jr.,(Current Season),8.0,92.69999999999999,36.0,12.899999999999999,19.200000000000003,7.199999999999999,1.5,3.0,49.4,57.1,5.4
Devin Booker,(Projected),72.0,69.8,54.4,10.2,10.6,2.4,0.8,5.6,46.7,86.9,4.8
Devin Booker,(Current Season),7.0,72.2,55.4,7.8,10.8,1.8,0.6,4.2,50.4,84.8,5.2
Jamal Murray,(Projected),68.0,66.6,38.2,8.2,9.6,2.2,0.6,4.4,45.2,87.2,4.4
Jamal Murray,(Current Season),7.0,55.2,30.6,6.0,6.0,2.0,0.0,4.0,41.6,69.2,4.2
Brook Lopez,(Projected),69.0,81.6,40.2,16.5,2.7,2.0999999999999996,6.0,6.0,46.4,85.7,3.3000000000000003
Brook Lopez,(Current Season),7.0,92.69999999999999,44.099999999999994,20.700000000000003,3.3000000000000003,2.0999999999999996,9.0,6.300000000000001,48.8,88.9,3.3000000000000003
Jeremy Sochan,(Projected),72.0,51.2,15.6,11.2,2.4,1.0,1.6,1.4,47.9,73.0,3.2
Jeremy Sochan,(Current Season),7.0,43.2,14.2,8.0,3.4,1.8,0.8,1.2,44.9,40.0,2.0
James Harden,(Projected),75.0,75.2,46.8,14.8,20.2,2.4,1.0,5.0,43.9,88.8,8.2
James Harden,(Current Season),9.0,73.6,44.0,14.0,20.0,2.2,1.4,4.4,44.1,92.9,5.8
Marcus Morris Sr.,(Projected),67.0,78.9,35.099999999999994,12.0,5.699999999999999,1.5,0.8999999999999999,5.1,43.4,83.3,3.5999999999999996
Marcus Morris Sr.,(Current Season),6.0,87.6,44.400000000000006,17.4,6.6000000000000005,3.0,0.6000000000000001,5.4,52.9,100.0,2.4000000000000004
Kristaps Porzingis,(Projected),58.0,92.69999999999999,58.800000000000004,27.299999999999997,5.699999999999999,2.4000000000000004,4.800000000000001,4.800000000000001,46.7,87.1,5.1
Kristaps Porzingis,(Current Season),8.0,94.5,63.0,25.5,6.8999999999999995,2.4000000000000004,3.9000000000000004,5.699999999999999,52.2,86.8,5.4
Fred VanVleet,(Projected),68.0,111.0,51.0,12.600000000000001,22.5,6.0,1.7999999999999998,8.7,40.4,88.7,6.0
Fred VanVleet,(Current Season),6.0,114.0,39.900000000000006,12.0,23.1,7.5,2.0999999999999996,6.8999999999999995,35.3,85.7,3.5999999999999996
Khris Middleton,(Projected),64.0,98.39999999999999,61.5,16.200000000000003,16.5,3.5999999999999996,0.8999999999999999,7.5,44.9,88.4,8.7
Khris Middleton,(Current Season),66.0,97.19999999999999,60.300000000000004,16.200000000000003,16.200000000000003,3.5999999999999996,0.8999999999999999,7.5,44.3,89.0,8.7
